Wavelength,Flux
587.511,699.59767
587.714,611.46493
587.917,690.09517
588.121,732.23315
588.324,643.77052
588.527,727.70679
588.73,595.32062
588.933,633.35135
589.136,614.05922
589.339,582.66019
589.542,661.08552
589.745,666.70939
589.948,714.94468
590.151,679.58764
590.354,660.92704
590.557,612.08797
590.76,555.97832
590.963,652.87029
591.166,783.52066
591.369,648.82193
591.572,692.8412
591.775,666.92507
591.978,660.09599
592.18,692.57497
592.383,686.24358
592.586,714.81113
592.789,671.83419
592.991,672.21103
593.194,655.78488
593.397,646.46204
593.6,629.2739
593.802,717.2643
594.005,641.78848
594.208,664.98347
594.41,627.20415
594.613,543.33588
594.815,642.6128
595.018,712.6845
595.221,643.25021
595.423,686.69223
595.626,681.13698
595.828,577.40426
596.031,680.18625
596.233,634.75883
596.436,694.19603
596.638,605.89116
596.84,637.83692
597.043,568.89078
597.245,652.17839
597.448,666.52529
597.65,737.28963
597.852,651.64723
598.055,767.69921
598.257,656.69867
598.459,600.4036
598.662,629.42512
598.864,674.42599
599.066,686.22119
599.268,717.87725
599.47,642.3288
599.673,536.88735
599.875,644.34994
600.077,640.24929
600.279,601.44219
600.481,568.00028
600.683,632.80176
600.885,661.94946
601.087,624.27773
601.289,650.17099
601.491,695.60205
601.693,613.16266
601.895,634.96373
602.097,618.508
602.299,525.36545
602.501,580.6496
602.703,655.16175
602.905,646.3993
603.107,660.291
603.309,581.69822
603.511,614.06503
603.713,538.8533
603.914,579.83617
604.116,567.54447
604.318,562.5081
604.52,615.64537
604.722,583.71283
604.923,679.30633
605.125,648.34104
605.327,676.72561
605.528,546.92835
605.73,666.45973
605.932,639.0904
606.133,604.57773
606.335,657.88754
606.537,589.79199
606.738,628.51095
606.94,663.66311
607.141,585.40006
607.343,573.78493
607.544,580.23338
607.746,587.64701
607.947,672.48043
608.149,660.16449
608.35,548.16426
608.552,514.41979
608.753,641.93202
608.954,565.81338
609.156,570.18643
609.357,659.37138
609.558,657.81789
609.76,616.95863
609.961,618.33989
610.162,589.31694
610.364,590.00364
610.565,512.62361
610.766,575.02501
610.967,547.46163
611.169,550.20322
611.37,636.39184
611.571,590.18482
611.772,566.79736
611.973,572.3087
612.174,671.18119
612.375,517.42599
612.577,477.71147
612.778,560.70433
612.979,517.83391
613.18,532.84457
613.381,565.85352
613.582,520.24789
613.783,446.6273
613.984,556.85354
614.185,471.39149
614.385,675.70705
614.586,567.07813
614.787,610.33971
614.988,512.70841
615.189,522.31324
615.39,499.18463
615.591,481.54969
615.792,564.12148
615.992,452.61542
616.193,496.18491
616.394,477.79048
616.595,581.12487
616.795,502.67846
616.996,523.68115
617.197,566.00947
617.397,546.88613
617.598,536.28543
617.799,532.01885
617.999,462.01872
618.2,534.43132
618.4,550.08076
618.601,543.68811
618.802,576.6454
619.002,597.4595
619.203,459.91528
619.403,531.13008
619.604,500.76228
619.804,536.19415
620.005,545.88005
620.205,435.91217
620.405,524.71013
620.606,570.27348
620.806,463.48765
621.007,600.34362
621.207,394.67115
621.407,467.66648
621.608,448.40865
621.808,473.1781
622.008,457.59294
622.208,484.86529
622.409,476.3191
622.609,581.82105
622.809,494.52085
623.009,497.11328
623.21,507.82531
623.41,503.01593
623.61,589.9386
623.81,590.29652
624.01,435.01038
624.21,502.90254
624.41,432.07831
624.61,486.84454
624.81,517.74367
625.01,508.58039
625.21,460.07245
625.41,451.29993
625.61,471.67595
625.81,543.23732
626.01,536.24092
626.21,513.65816
626.41,529.93615
626.61,544.77256
626.81,499.67259
627.01,652.21564
627.21,514.1479
627.409,455.0809
627.609,448.64974
627.809,526.13835
628.009,484.55902
628.208,461.62684
628.408,485.33747
628.608,480.99508
628.808,442.6293
629.007,532.85637
629.207,416.79704
629.407,438.65873
629.606,503.54143
629.806,442.74985
630.006,480.56988
630.205,525.62317
630.405,578.11173
630.604,431.78856
630.804,410.25035
631.003,427.49588
631.203,442.01221
631.402,387.94327
631.602,501.69966
631.801,442.75564
632.001,411.34852
632.2,343.26883
632.399,446.64464
632.599,447.66398
632.798,461.9732
632.998,413.40128
633.197,442.43062
633.396,466.85635
633.595,429.75672
633.795,491.69454
633.994,432.49733
634.193,459.88762
634.392,477.96931
634.592,481.98739
634.791,439.85855
634.99,449.36013
635.189,432.75495
635.388,429.98097
635.588,440.66296
635.787,508.05955
635.986,462.96338
636.185,490.07302
636.384,434.36715
636.583,511.34113
636.782,457.47537
636.981,499.25553
637.18,478.71835
637.379,520.79723
637.578,403.08504
637.777,507.27525
637.976,370.06985
638.175,494.28868
638.374,458.04975
638.572,466.85635
638.771,478.8363
638.97,503.39116
639.169,432.88419
639.368,495.33796
639.567,544.1981
639.765,422.59717
639.964,449.37949
640.163,537.22429
640.362,531.96008
640.56,430.69153
640.759,454.73162
640.958,403.13072
641.156,451.83002
641.355,505.53821
641.554,450.53193
641.752,449.85464
641.951,463.10282
642.149,426.39595
642.348,527.9187
642.546,487.21657
642.745,428.10942
642.943,483.64831
643.142,463.64131
643.34,543.5829
643.539,486.83826
643.737,411.92291
643.936,544.89643
644.134,489.66305
644.333,435.47089
644.531,457.21529
644.729,414.265
644.928,450.83629
645.126,403.5519
645.324,486.8749
645.523,445.02086
645.721,390.67549
645.919,524.94234
646.117,382.66315
646.316,453.09528
646.514,417.33439
646.712,534.07453
646.91,519.61867
647.108,465.72688
647.306,434.91795
647.505,435.65826
647.703,490.82436
647.901,424.68906
648.099,505.72876
648.297,374.56047
648.495,399.90652
648.693,447.12073
648.891,410.46492
649.089,507.49703
649.287,400.91634
649.485,347.23397
649.683,445.51469
649.881,457.05806
650.079,438.40423
650.276,448.18283
650.474,350.97993
650.672,499.93174
650.87,448.2265
651.068,532.84734
651.266,435.11389
651.463,509.87031
651.661,503.43477
651.859,463.2956
652.057,480.89462
652.254,472.97844
652.452,408.73843
652.65,360.39057
652.847,502.87121
653.045,437.63691
653.243,479.61194
653.44,523.74584
653.638,470.71874
653.836,429.3677
654.033,411.60592
654.231,440.21122
654.428,406.52057
654.626,446.20235
654.823,411.84122
655.021,367.86527
655.218,438.77321
655.416,418.67803
655.613,393.66676
655.811,396.20133
656.008,421.55375
656.205,367.88715
656.403,384.37233
656.6,478.33905
656.797,358.44168
656.995,336.18505
657.192,404.6564
657.389,503.06551
657.587,399.84534
657.784,474.45723
657.981,424.58645
658.178,461.66192
658.375,401.26312
658.573,415.85811
658.77,351.98601
658.967,370.60072
659.164,424.42313
659.361,371.67057
659.558,381.43069
659.755,456.42433
659.953,366.75087
660.15,458.40877
660.347,340.46546
660.544,372.29339
660.741,445.0129
660.938,351.06633
661.135,360.49594
661.332,323.83873
661.528,410.3245
661.725,426.52625
661.922,354.82442
662.119,384.66322
662.316,386.3655
662.513,261.56697
662.71,262.8682
662.907,328.23445
663.103,347.90625
663.3,324.51141
663.497,348.5484
663.694,331.7337
663.89,365.32713
664.087,316.47585
664.284,356.91747
664.481,392.18886
