CENTRALWAVELNG,PL_TRANDEP
1.47823,1.89055
1.4792,1.84343
1.48017,1.86532
1.48115,1.83898
1.48212,1.90774
1.4831,1.87118
1.48407,1.94649
1.48504,1.9164
1.48602,1.88325
1.48699,1.88574
1.48796,1.91979
1.48894,1.92053
1.48991,1.92436
1.49089,1.88146
1.49186,1.87889
1.49283,1.86598
1.49381,1.89619
1.49478,1.90822
1.49576,1.87586
1.49673,1.89753
1.49771,1.89681
1.49868,1.89572
1.49966,1.85211
1.50063,1.86478
1.5016,1.88083
1.50258,1.8051
1.50355,1.8599
1.50453,1.84506
1.5055,1.95703
1.50648,1.86047
1.50745,1.90315
1.50843,1.92674
1.5094,1.8996
1.51038,1.88958
1.51135,1.85786
1.51233,1.87785
1.5133,1.86827
1.51428,1.87525
1.51525,1.92183
1.51623,1.84433
1.5172,1.9018
1.51818,1.8797
1.51916,1.90145
1.52013,1.89623
1.52111,1.91912
1.52208,1.87968
1.52306,1.89437
1.52403,1.86999
1.52501,1.86423
1.52598,1.89555
1.52696,1.87666
1.52794,1.90137
1.52891,1.92691
1.52989,1.88151
1.53086,1.87033
1.53184,1.84184
1.53282,1.84695
1.53379,1.8783
1.53477,1.85006
1.53574,1.86004
1.53672,1.8578
1.5377,1.93149
1.53867,1.85964
1.53965,1.87929
1.54063,1.87847
1.5416,1.85296
1.54258,1.83556
1.54355,1.9056
1.54453,1.88028
1.54551,1.87265
1.54648,1.87022
1.54746,1.91119
1.54844,1.88129
1.54941,1.84115
1.55039,1.83105
1.55137,1.87113
1.55234,1.86729
1.55332,1.8898
1.5543,1.83637
1.55528,1.86702
1.55625,1.84559
1.55723,1.82113
1.55821,1.88569
1.55918,1.81934
1.56016,1.91289
1.56114,1.83502
1.56212,1.90791
1.56309,1.88881
1.56407,1.88003
1.56505,1.8266
1.56602,1.88754
1.567,1.87742
1.56798,1.89346
1.56896,1.88098
1.56993,1.90086
1.57091,1.85231
1.57189,1.91784
1.57287,1.90286
1.57384,1.85
1.57482,1.89958
1.5758,1.87246
1.57678,1.88495
1.57776,1.8592
1.57873,1.89902
1.57971,1.85647
1.58069,1.89685
1.58167,1.88857
1.58265,1.85648
1.58362,1.86807
1.5846,1.89548
1.58558,1.83161
1.58656,1.81451
1.58754,1.78906
1.58851,1.9156
1.58949,1.89056
1.59047,1.83859
1.59145,1.83739
1.59243,1.83907
1.59341,1.92384
1.59438,1.86853
1.59536,1.92486
1.59634,1.9302
1.59732,1.87685
1.5983,1.90929
1.59928,1.85777
1.60025,1.81173
1.60123,1.87007
1.60221,1.89918
1.60319,1.86961
1.60417,1.82882
1.60515,1.81933
1.60613,1.88879
1.60711,1.84262
1.60808,1.84014
1.60906,1.85812
1.61004,1.80287
1.61102,1.86811
1.612,1.88425
1.61298,1.79604
1.61396,1.83664
1.61494,1.93349
1.61592,1.84197
1.61689,1.86499
1.61787,1.90013
1.61885,1.82965
1.61983,1.89765
1.62081,1.93464
1.62179,1.81277
1.62277,1.85495
1.62375,1.84198
1.62473,1.88175
1.62571,1.88594
1.62669,1.8575
1.62767,1.86757
1.62865,1.83151
1.62963,1.86882
1.63061,1.86583
1.63158,1.8539
1.63256,1.87391
1.63354,1.85064
1.63452,1.83376
1.6355,1.81589
1.63648,1.88411
1.63746,1.87249
1.63844,1.94585
1.63942,1.9238
1.6404,1.8313
1.64138,1.92675
1.64236,1.89258
1.64334,1.90496
1.64432,1.82597
1.6453,1.91125
1.64628,1.87637
1.64726,1.8608
1.64824,1.88587
1.64922,1.86432
1.6502,1.81868
1.65118,1.93762
1.65216,1.82821
1.65314,1.87727
1.65412,1.83301
1.6551,1.88018
1.65608,1.8707
1.65706,1.88535
1.65804,1.9072
1.65902,1.8895
1.66,1.85816
1.66098,1.86484
1.66196,1.83814
